accuracy,iteration,time,shrinking,random_state,max_iter,kernel,decision_function_shape,class_weight,C
0.4539877300613497,136,101.00206565856934,False,42,10000,linear,ovr,None,0.23184620954131294
0.43558282208588955,137,100.12965083122253,False,42,10000,linear,ovr,balanced,0.03650900524844982
0.4233128834355828,132,110.69232153892517,True,42,10000,linear,ovr,balanced,5.119175279997104
0.4233128834355828,135,110.08219027519226,True,42,10000,linear,ovr,balanced,1.0111137119549067
0.4539877300613497,134,113.41050553321838,True,42,10000,linear,ovr,None,4.495727713019051
0.4723926380368098,138,112.19672966003418,True,42,10000,linear,ovr,None,0.011282361216489924
0.4233128834355828,139,107.4458270072937,True,42,10000,linear,ovr,balanced,0.1382929369795943
0.4539877300613497,140,110.51639246940613,True,42,10000,linear,ovr,None,0.16143585568264854
0.4233128834355828,141,106.38674426078796,True,42,10000,linear,ovr,balanced,127.99706167051794
0.4539877300613497,142,111.25781393051147,True,42,10000,linear,ovr,None,0.0998159627491724
0.49079754601226994,143,113.48828554153442,True,42,10000,linear,ovr,balanced,0.005829079788672337
0.4539877300613497,146,97.05088305473328,False,42,10000,linear,ovr,None,5.248074602497723
0.4233128834355828,147,97.14686965942383,False,42,10000,linear,ovr,balanced,25.633033198658953
0.49079754601226994,152,98.0320725440979,False,42,10000,linear,ovr,balanced,0.006823386941416697
0.49079754601226994,145,105.6561963558197,False,42,10000,linear,ovr,balanced,0.004952220800885213
0.4233128834355828,149,102.88777017593384,False,42,10000,linear,ovr,balanced,191.60198320684538
0.4539877300613497,150,102.16639256477356,False,42,10000,linear,ovr,None,649.8303634842366
0.48466257668711654,144,111.96086931228638,True,42,10000,linear,ovr,balanced,0.0022908676527677724
0.4233128834355828,157,98.31287789344788,False,42,10000,linear,ovr,balanced,30.088462766457237
0.4233128834355828,151,109.13059520721436,True,42,10000,linear,ovr,balanced,0.4401492842868148
0.4539877300613497,154,102.68075585365295,False,42,10000,linear,ovr,None,4.0476224868787325
0.49693251533742333,156,101.44740915298462,False,42,10000,linear,ovr,None,0.001984266498484643
0.4233128834355828,155,102.89944529533386,False,42,10000,linear,ovr,balanced,199.71008660281842
0.4539877300613497,148,114.58770155906677,True,42,10000,linear,ovr,None,1.3037670471382128
0.4539877300613497,160,100.39496755599976,False,42,10000,linear,ovr,None,569.1149576288402
0.4233128834355828,153,112.99293637275696,True,42,10000,linear,ovr,balanced,23.07809729698403
0.4233128834355828,158,110.96567296981812,True,42,10000,linear,ovr,balanced,2.028616716966293
0.4539877300613497,162,98.9074194431305,False,42,10000,linear,ovr,None,972.7472237769641
0.43558282208588955,159,109.24797677993774,True,42,10000,linear,ovr,balanced,0.03681289736425313
0.4233128834355828,161,109.34607481956482,True,42,10000,linear,ovr,balanced,0.1778279410038923
0.4539877300613497,164,101.08812999725342,False,42,10000,linear,ovr,None,0.3176874070649769
0.4539877300613497,163,109.18207550048828,True,42,10000,linear,ovr,None,1.564588018040553
0.4723926380368098,165,105.12230253219604,False,42,10000,linear,ovr,None,0.00889610704409229
0.4539877300613497,166,96.6602201461792,False,42,10000,linear,ovr,None,49.3400971187957
0.4539877300613497,167,94.28931164741516,False,42,10000,linear,ovr,None,226.15177461083582
0.4785276073619632,169,102.79857420921326,False,42,10000,linear,ovr,balanced,0.011824968703831047
