,track_name,final_track_name,clustered_track_name,pianist,mbz_id
154,Stella by Starlight,stella by starlight,stella by starlight,Hank Jones,0b84c1a7-fa5e-4d75-a86e-6afeee35ee7b
155,Ill See You Again,ill see you again,ill see you again,Bill Evans,d299fadd-626c-4706-b1ea-6359cb002c3c
156,Falling in Love With Love,falling in love with love,falling in love with love,Keith Jarrett,6bfadb79-d74d-495e-b005-9c3b9481351c
157,All of You,all of you,all of you,Bill Evans,1324a29e-6075-4beb-861d-73f6de9be20a
158,Autumn Leaves,autumn leaves,autumn leaves,Keith Jarrett,1f0361fa-d1d1-4c35-ad9e-a343b029e777
159,Tune for Duke,tune for duke,tune for duke,Bud Powell,76c3ea93-2546-4bd9-90c2-726b5e29ac3a
160,Stella by Starlight,stella by starlight,stella by starlight,Ahmad Jamal,6601943f-921f-48e0-8a11-a2a982238631
161,Scufflin,scufflin,scufflin,Wynton Kelly,067452c3-2fb0-41ac-b15c-70794233ece2
162,Reets and I alternate take 2,all gods children,all gods chillun got rhythm,Bud Powell,bb7cdedb-5bb4-4c88-a1ba-0392ba4fad37
163,Rock Of Ages,rock of ages,rock of ages,Oscar Peterson,16d02636-8292-4198-8bd1-83b687eb6cd8
164,Revelation Blues,revelation blues,revelation blues,Red Garland,ca9d879b-a16e-43ec-bb27-0a1405734c7b
165,All of You take 3,all of you,all of you,Bill Evans,e166b7f3-61f8-4736-8aa5-7084b655947e
166,Smokey Blues,smokey blues,smokey blues,Junior Mance,fb32713f-dcba-4e48-bd7d-6b36c19fa894
167,Embraceable You,embraceable you,embraceable you,Kenny Barron,8db9cd16-b6a0-4810-a179-f9bb304dd088
168,Nobody Else but Me,nobody else but me,nobody else but me,Brad Mehldau,5f100320-5693-4f96-b708-d8d714e68831
169,It Aint Necessarily So,it aint necessarily so,it aint necessarily so,Oscar Peterson,f7c91834-fd79-4006-83ed-7ab1afa4e8f1
170,Spring Will Be a Little Late This Year,spring will be a little late this year,spring will be a little late this year,Ahmad Jamal,828208f2-3ae0-4de4-878c-ffd8f7cda68c
171,Nardis,nardis,nardis,Bill Evans,4085d1b1-9cbf-48a6-b4da-186dc81a8dc4
172,Salt Peanuts,i got rhythm,i got rhythm,Bud Powell,59851d2e-1240-4eda-9e82-ae87d236159a
173,Giant Steps,giant steps,giant steps,Dado Moroni,b1dad0f8-119e-48d5-9a8e-b04c55fd3b91
174,There Is No Greater Love,no greater love,no greater love,Cedar Walton,c4cb26bd-6441-4b7b-a3c9-80f0ab136069
175,34 Skidoo,34 skidoo,skidoo,Bill Evans,8828ee88-55c0-4383-8f84-852592c1c817
176,Ugetsu,ugetsu,ugetsu,Cedar Walton,5872ae60-98d1-4326-a38d-bc13bfdc4ed2
177,Go Down Moses,go down moses,go down moses,Hampton Hawes,a55921e1-9496-4480-a396-5c851946f581
178,Yesterdays,yesterdays,yesterdays,Paul Smith,6357e74c-6777-4ffe-b631-44e377d85c74
179,Like Someone in Love alternative take 2,like someone in love,like someone in love alternative,Ahmad Jamal,f4a5da5b-8315-4e95-8ad1-10d1d4e1f420
180,Days of Wine and Roses,days of wine roses,days of wine roses,Bill Evans,7fa47407-7117-41a4-88f5-2fbb017b1c65
181,Hot House,what is this thing called love,what is this thing called love,Bud Powell,0fd4357e-3423-4e1f-879f-be1ac9a614b9
182,The Partys Over,the partys over,the partys over,Ahmad Jamal,a20c66f3-99b2-47c1-bd3d-dc83eb7837d6
183,Just Friends,just friends,just friends,Tommy Flanagan,0469f84b-0b9d-4e06-8c82-8d634fd8e8e1
184,Someday My Prince Will Come,someday my prince will come,someday my prince will come,Bill Evans,d29ba92b-ff81-41df-b5e9-60eba30a767d
185,Oh Lady Be Good,oh lady be good,oh lady be good,Junior Mance,7a9122df-43d2-4971-b2af-aa7191446f76
186,Moments Notice,moments notice,moments notice,McCoy Tyner,5769e6a9-c520-4138-9b6e-41eda41dff83
187,34 Skidoo,34 skidoo,skidoo,Bill Evans,286dc358-ab88-4aff-a919-5560d0c69a3c
188,Mighty Cool Penthouse,mighty cool penthouse,mighty cool penthouse,Hank Jones,43d83766-8163-47c1-8bc9-6802e7b180bc
189,Stella by Starlight,stella by starlight,stella by starlight,John Hicks,5509efbe-0ccf-4335-ac9b-c5fceba423ec
190,Blues in the Closet,blues in the closet,blues in the closet,Red Garland,fb889e40-16a8-4568-81da-d55b12e48b29
191,And Then Again,and then again,and then again,Kenny Barron,03b6fadc-dba8-4c9d-8a28-f008280d96df
192,Riot,riot,riot,Keith Jarrett,41cd26ac-e2f0-48e7-9147-0b7759e4465f
193,Every Cloud,every cloud,every cloud,Herbie Nichols,cc5a0e37-da5b-4cf2-b620-260f1280f573
194,Get Happy,get happy,get happy,Tommy Flanagan,815dfa1a-0c1d-4a10-abdc-efb4c837a2a1
195,Serenata,serenata,serenata,John Hicks,f0f06c00-0b12-4b78-9acf-541781dd4fed
196,S Wonderful,s wonderful,s wonderful,Hank Jones,d3373c2a-cb7d-444c-b7bb-66e35700a304
197,Blues NC,blues nc,blues nc,Hampton Hawes,ccda6fc2-fdd3-4276-8922-5c812bc051ec
198,Who Cares,who cares,who cares,Bill Evans,7ffcaefd-cc80-4ccf-b2d2-42ad52ebf4de
199,Woodyn You take 2,woodyn you,woodyn you,Bill Evans,333e0b36-18db-4718-8d8e-35dc91dbe25c
200,Out of Nowhere,out of nowhere,out of nowhere,Kenny Barron,5ef86b93-5b3a-4ac1-b8d7-cfaba8f941f5
201,All the Things You Are,all the things you are,all the things you are,Cedar Walton,2ecfa73e-f08a-4d57-99b0-4ebf98895211
202,The Third World,the third world,the third world,Herbie Nichols,dc1f983a-f600-4e07-b291-3bbe7e9baf22
203,Im Old Fashioned,im old fashioned,im old fashioned,Ahmad Jamal,9a887615-024e-486a-b6b8-1c28e377839c
204,I Love You,i love you,i love you,Tommy Flanagan,c63e549c-a764-4c2d-bcd1-f430fdff5442
205,My Romance,my romance,my romance,Bill Evans,3caed02f-f51b-4486-bb24-fc29a91a3a6e
206,Long Time Gone but Not Withdrawn,long time gone but not withdrawn,long time gone but not withdrawn,Keith Jarrett,988152fb-0124-4a41-9ff7-2dd4c6a5b188
207,Cheryl,cheryl,cheryl,Hampton Hawes,8f6693a7-1786-4f56-bff3-573371a6f862
208,Softly as in a Morning Sunrise,softly as in a morning sunrise,softly as in a morning sunrise,Junior Mance,abb8540c-dfa0-4c78-9737-114e98983d52
209,Cant We Be Friends,cant we be friends,cant we be friends,Sonny Clark,a4c40b5c-1080-40c3-a9dd-34ad0904b1cc
210,What Is This Thing Called Love,what is this thing called love,what is this thing called love,Keith Jarrett,72ad4994-9973-49b4-85bc-8e07ddf5c995
211,Cedars Blues,cedars blues,cedars blues,Cedar Walton,bf738f09-8b1f-41fe-ba0b-168121410fa8
212,Tin Tin Deo,tin tin deo,tin tin deo,Tommy Flanagan,7c3b16c7-e271-4545-b1e7-e8b12a6f6c77
213,The Gig,the gig,the gig,Herbie Nichols,ad28e74d-a139-42b1-a9c2-2c12a3bd6608
214,How About You,how about you,how about you,Bill Evans,33189f40-d1df-43c7-83ef-79aafbdb4529
215,Hot House,what is this thing called love,what is this thing called love,Chick Corea,f057e6f6-3320-4666-a03f-a199a82634c7
216,Angst,angst,angst,Brad Mehldau,d5546dce-f6fc-4cbb-8180-693234e60b8e
217,Glorias Step,glorias step,glorias step,Bill Evans,5ba04874-b4b9-4f95-a35f-60265a26d200
218,That Trading Feeling,that trading feeling,that trading feeling,Lennie Tristano,ff5a22d4-9771-4535-902f-721e1e3709b7
219,Days of Wine and Roses,days of wine roses,days of wine roses,Bill Evans,cedca1e5-a4bd-4a45-bd8d-ab7eb3fc42df
220,Who Can I Turn to,who can i turn to,who can i turn to,Bill Evans,5c2c078a-4102-4366-805f-8a20075afcd1
221,Youre Gonna Hear From Me,youre gonna hear from me,youre gonna hear from me,Bill Evans,08aac7d2-ccff-48a8-b707-18aac8f26a5a
222,It Aint Necessarily So,it aint necessarily so,it aint necessarily so,Oscar Peterson,aadc1e26-5a77-4993-855f-48ed0bcf20b5
223,West Coast Blues,west coast blues,west coast blues,Tommy Flanagan,2b722f6c-2dc9-4827-aacc-f7e00e63d099
224,Love Is Here to Stay,love is here to stay,love is here to stay,Bill Evans,a67e8975-9e6a-4031-a229-d395cdf47495
225,Thadrack,thadrack,thadrack,Tommy Flanagan,4ba8f2d2-b5d2-4fe5-8f1e-c803d10b6b9c
226,I Got Rhythm,i got rhythm,i got rhythm,Hampton Hawes,c1360534-818c-49d6-a8f7-e0ae86ff5a47
227,Ive Got the World on a String,ive got the world on a string,ive got the world on a string,Teddy Wilson,4ec63fd3-aecf-4870-a2e4-e731e3a68ed2
228,Like Someone in Love,like someone in love,like someone in love,Bill Evans,25a4a296-b6fb-4332-be40-0cb6dd247389
229,Soft Winds,soft winds,soft winds,Ahmad Jamal,21645f01-f6df-475b-adf6-c85302903efd
230,HushABye,hushabye,hushabye,Kenny Drew,cc402867-f1cb-4154-a603-7abbf47474f6
231,You Must Believe in Spring,you must believe in spring,you must believe in spring,Bill Evans,38bff03e-507e-4bfa-aa25-a45b6c16b63c
232,Oleo,i got rhythm,i got rhythm,Keith Jarrett,ae79f9ec-1bbc-444d-9380-99def37ddd9e
233,Willow Weep for Me,willow weep for me,willow weep for me,Wynton Kelly,ad835f84-3eeb-4281-bc86-04a2fbb77cd1
234,If You Could See Me Now,if you could see me now,if you could see me now,Bill Evans,923f6173-19c7-4f62-a226-9b95855a09d7
235,My Romance,my romance,my romance,Bill Evans,e2bcf98d-d7c8-435a-9b46-e3c730d3740f
236,Many Miles Away,many miles away,many miles away,Kenny Drew,e47247c4-e1d0-4fa8-8a7f-7c90c89cf5a4
237,I Want to Be Happy,i want to be happy,i want to be happy,Bud Powell,16389d5f-bbf8-40bf-a902-3f29f1f4a21e
238,Between the Devil and the Deep Blue Sea,between the devil and the deep blue sea,between the devil and the deep blue sea,Oscar Peterson,52c3fed8-3a0e-4e66-b0a0-cf6623e14ddc
239,Speak Low,speak low,speak low,McCoy Tyner,0d6615ac-dfaf-4972-9d09-a6b0b7e1d274
